Πάροχος,Έτος,Μήνας,Ονομασία Τιμολογίου,Πάγιο (€/μήνα),Τελική Τιμή Προμήθειας (€/ΚWh),Πάγιο με Έκπτωση με προϋπόθεση (€/μήνα),Προϋπόθεση Έκπτωσης Παγίου,Τελική Τιμή Προμήθειας με Έκπτωση με προϋπόθεση (€/ΚWh),Προϋπόθεση Έκπτωσης Βασικής Τιμής Προμήθειας,Διάρκεια Σύμβασης,Παρατηρήσεις
NRG,2025,1,nrg simple 2.0,5.00,0.27024,3.50,ebill & πάγια εντολή,0.089,Οριζόντια έκπτωση χωρίς προϋπόθεση,12,
VOLTON,2024,11,VOLTON YELLOW PROTECT Nov\' 24,6.90,0.089,6.90,,0.089,Συνέπεια,12,Η τιμή του εκάστοτε μήνα ανακοινώνεται με την έκδοση της ΜΤΑ. Για το μήνα Νοέμβριο το ανώτατο όριο της Τελικής Τιμής Προμήθειας ανέρχεται στα 89€/MWh. Από 02/12 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2024,12,VOLTON YELLOW PROTECT Nov\' 24,6.90,0.089,6.90,,0.089,Συνέπεια,12,Η τιμή του εκάστοτε μήνα ανακοινώνεται με την έκδοση της ΜΤΑ. Για το μήνα Δεκέμβριο το ανώτατο όριο της Τελικής Τιμής Προμήθειας ανέρχεται στα 89€/MWh. Από 02/12 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2024,12,VOLTON YELLOW PROTECT Dec\' 24,6.90,0.089,6.90,,0.089,Συνέπεια,12,Η τιμή του εκάστοτε μήνα ανακοινώνεται με την έκδοση της ΜΤΑ. Για το μήνα Δεκέμβριο το ανώτατο όριο της Τελικής Τιμής Προμήθειας ανέρχεται στα 89€/MWh.
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,12,Ρεύμα Blue Friday,9.90,0.139,9.90,,0.089,Συνέπεια,12,Δωδεκάμηνο (12) σταθερό πρόγραμμα.
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,1,Ρεύμα Blue Friday,9.90,0.139,9.90,,0.089,Συνέπεια,12,Δωδεκάμηνο (12) σταθερό πρόγραμμα.
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,11,Ρεύμα Blue Friday,9.90,0.139,9.90,,0.089,Συνέπεια,Αορίστου Διάρκειας,Δωδεκάμηνο (12) σταθερό πρόγραμμα.
NRG,2024,3,nrg @ cost+,7.90,0.08901,5.53,"e-bill, πάγια εντολή",0.08901,,Αορίστου Διάρκειας,Tο Πάγιο αφορά σε κατανάλωση μέχρι 300 kWh
ELPEDISON,2024,9,ELPEDISON Win More,9.90,0.0895,9.90,,0.0895,,12,Έως 30/09 Σταθερή Χρέωση Προμήθειας ημέρας και νύχτας και Πάγιο στα 9.90 €/μήνα. Από 01/10/2024 έως τη λήξη της σύμβασης η Χρέωση Προμήθειας καθίσταται κυμαινόμενη και το Πάγιο ανέρχεται στα 5 €/μήνα. Από 01/10 το προϊόν είναι μη εμπορικά διαθέσιμο.
ELPEDISON,2024,7,ELPEDISON Win More,9.90,0.0895,9.90,,0.0895,,12,Έως 30/09/2024 Σταθερή Χρέωση Προμήθειας ημέρας και νύχτας και Πάγιο στα 9.90 €/μήνα. Από 01/10/2024 έως τη λήξη της σύμβασης η Χρέωση Προμήθειας καθίσταται κυμαινόμενη και το Πάγιο ανέρχεται στα 5 €/μήνα.
